Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall valgtingstemmer totalt;Antall stemmer parti
03;Oslo;0301;Oslo;1004;Tiurleiken skole;DEMN;Demokratene i Norge;0,44416;4881;1586;7
03;Oslo;0301;Oslo;1004;Tiurleiken skole;HELSE;Helsepartiet;0,57107;4881;1586;9
03;Oslo;0301;Oslo;1004;Tiurleiken skole;KRISTNE;Partiet De Kristne;0,44416;4881;1586;7
03;Oslo;0301;Oslo;1004;Tiurleiken skole;LIBS;Liberalistene;0,19036;4881;1586;3
03;Oslo;0301;Oslo;1004;Tiurleiken skole;NKP;Norges Kommunistiske Parti;0,0;4881;1586;0
03;Oslo;0301;Oslo;1004;Tiurleiken skole;PIR;Piratpartiet;0,1269;4881;1586;2
03;Oslo;0301;Oslo;1004;Tiurleiken skole;PP;Pensjonistpartiet;1,14213;4881;1586;18
03;Oslo;0301;Oslo;1004;Tiurleiken skole;SAMFS;Samfunnspartiet;0,0;4881;1586;0
03;Oslo;0301;Oslo;1004;Tiurleiken skole;BLANKE;Blanke;0,63452;4881;1586;10
03;Oslo;0301;Oslo;1004;Tiurleiken skole;FI;Feministisk Initiativ;0,06345;4881;1586;1
03;Oslo;0301;Oslo;1004;Tiurleiken skole;Andre;Andre;3,10914;4881;1586;49
03;Oslo;0301;Oslo;1004;Tiurleiken skole;Andre2;Andre2;0,0;4881;1586;0
03;Oslo;0301;Oslo;1101;Vestli skole;A;Arbeiderpartiet;50,92961;4417;1510;767
03;Oslo;0301;Oslo;1101;Vestli skole;SV;Sosialistisk Venstreparti;7,30412;4417;1510;110
03;Oslo;0301;Oslo;1101;Vestli skole;RØDT;Rødt;5,17928;4417;1510;78
03;Oslo;0301;Oslo;1101;Vestli skole;SP;Senterpartiet;1,99203;4417;1510;30
03;Oslo;0301;Oslo;1101;Vestli skole;KRF;Kristelig Folkeparti;1,19522;4417;1510;18
03;Oslo;0301;Oslo;1101;Vestli skole;MDG;Miljøpartiet De Grønne;1,92563;4417;1510;29
03;Oslo;0301;Oslo;1101;Vestli skole;V;Venstre;2,65604;4417;1510;40
03;Oslo;0301;Oslo;1101;Vestli skole;H;Høyre;13,87782;4417;1510;209
03;Oslo;0301;Oslo;1101;Vestli skole;FRP;Fremskrittspartiet;12,5498;4417;1510;189
03;Oslo;0301;Oslo;1101;Vestli skole;ALLI;Alliansen;0,0;4417;1510;0
03;Oslo;0301;Oslo;1101;Vestli skole;DEMN;Demokratene i Norge;0,2656;4417;1510;4
03;Oslo;0301;Oslo;1101;Vestli skole;HELSE;Helsepartiet;0,39841;4417;1510;6
03;Oslo;0301;Oslo;1101;Vestli skole;KRISTNE;Partiet De Kristne;0,2656;4417;1510;4
03;Oslo;0301;Oslo;1101;Vestli skole;LIBS;Liberalistene;0,0;4417;1510;0
03;Oslo;0301;Oslo;1101;Vestli skole;NKP;Norges Kommunistiske Parti;0,0;4417;1510;0
03;Oslo;0301;Oslo;1101;Vestli skole;PIR;Piratpartiet;0,1992;4417;1510;3
03;Oslo;0301;Oslo;1101;Vestli skole;PP;Pensjonistpartiet;1,26162;4417;1510;19
03;Oslo;0301;Oslo;1101;Vestli skole;SAMFS;Samfunnspartiet;0,0;4417;1510;0
03;Oslo;0301;Oslo;1101;Vestli skole;BLANKE;Blanke;0,2656;4417;1510;4
03;Oslo;0301;Oslo;1101;Vestli skole;FI;Feministisk Initiativ;0,0;4417;1510;0
03;Oslo;0301;Oslo;1101;Vestli skole;Andre;Andre;2,39044;4417;1510;36
03;Oslo;0301;Oslo;1101;Vestli skole;Andre2;Andre2;0,0;4417;1510;0
03;Oslo;0301;Oslo;1102;Stovner videregående skole;A;Arbeiderpartiet;57,8629;3593;1494;861
03;Oslo;0301;Oslo;1102;Stovner videregående skole;SV;Sosialistisk Venstreparti;9,47581;3593;1494;141
03;Oslo;0301;Oslo;1102;Stovner videregående skole;RØDT;Rødt;4,36828;3593;1494;65
